query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
538,attr2_narrow,2,1,17.265865,217.24922,1039,4268,12598,10,0,5000000,5000000,1000000
539,balanced,0,0,19.314265,139.87133,1790,2165,52639,10,0,2000000,2000000,2000000
540,attr0_narrow,0,1,8.331008,152.28258,1028,3692,10675,10,0,1000000,5000000,5000000
541,attr1_narrow,1,1,17.929549,195.27133,1026,5584,16509,10,0,5000000,1000000,5000000
542,attr2_narrow,2,1,17.266176,216.33757,1044,3975,11782,10,0,5000000,5000000,1000000
543,balanced,0,0,17.129238,161.03276,1266,1475,35820,10,0,2000000,2000000,2000000
544,attr0_narrow,0,1,9.353028,146.68194,1032,4527,13759,10,0,1000000,5000000,5000000
545,attr1_narrow,1,1,24.816529,202.32116,1170,4438,13324,10,0,5000000,1000000,5000000
546,attr2_narrow,2,1,15.94995,213.272,1028,3318,10314,10,0,5000000,5000000,1000000
547,balanced,0,0,13.213661,115.13841,1086,1313,31527,10,0,2000000,2000000,2000000
548,attr0_narrow,0,1,11.612146,206.43491,1032,5084,15429,10,0,1000000,5000000,5000000
549,attr1_narrow,1,0.9,19.167488,187.77705,1042,3528,10860,10,0,5000000,1000000,5000000
550,attr2_narrow,2,1,15.6851,222.54008,1031,3567,10645,10,0,5000000,5000000,1000000
551,balanced,0,0.4,17.070076,152.8821,1443,1761,40964,10,0,2000000,2000000,2000000
552,attr0_narrow,0,1,7.580249,179.79505,1037,2135,6174,10,0,1000000,5000000,5000000
553,attr1_narrow,1,1,18.92536,184.01194,1037,3611,10353,10,0,5000000,1000000,5000000
554,attr2_narrow,2,1,15.437772,223.70663,1027,3548,10705,10,0,5000000,5000000,1000000
555,balanced,0,0.2,15.538462,136.27655,1468,1757,41595,10,0,2000000,2000000,2000000
556,attr0_narrow,0,1,9.935609,177.64386,1030,4903,14872,10,0,1000000,5000000,5000000
557,attr1_narrow,1,1,19.553637,192.4705,1034,3491,10459,10,0,5000000,1000000,5000000
558,attr2_narrow,2,1,17.693935,222.25305,1032,4283,13060,10,0,5000000,5000000,1000000
559,balanced,0,0.4,13.543954,119.90281,1173,1343,31513,10,0,2000000,2000000,2000000
560,attr0_narrow,0,1,8.603222,137.14353,1026,4414,13215,10,0,1000000,5000000,5000000
561,attr1_narrow,1,1,16.709625,204.51443,1029,2880,8636,10,0,5000000,1000000,5000000
562,attr2_narrow,2,1,21.329502,211.05833,1037,5056,15097,10,0,5000000,5000000,1000000
563,balanced,0,0,19.767592,93.877296,1812,2186,51281,10,0,2000000,2000000,2000000
564,attr0_narrow,0,1,11.015549,173.99396,1026,4717,14625,10,0,1000000,5000000,5000000
565,attr1_narrow,1,1,20.816963,224.50224,1032,5253,15513,10,0,5000000,1000000,5000000
566,attr2_narrow,2,0.9,17.552748,204.86088,1030,4144,12464,10,0,5000000,5000000,1000000
567,balanced,0,0,0.1801,117.64553,7,7,324,7,1,2000000,2000000,2000000
568,attr0_narrow,0,1,11.535581,195.78279,1033,6262,18799,10,0,1000000,5000000,5000000
569,attr1_narrow,1,1,27.996215,188.0846,1026,5204,15558,10,0,5000000,1000000,5000000
570,attr2_narrow,2,0.9,18.764576,211.51774,1051,4711,14270,10,0,5000000,5000000,1000000
571,balanced,0,0,33.253397,137.80979,1270,1518,35786,10,0,2000000,2000000,2000000
572,attr0_narrow,0,1,9.506377,170.20916,1042,4514,13136,10,0,1000000,5000000,5000000
573,attr1_narrow,1,1,22.908645,197.96295,1032,3164,9484,10,0,5000000,1000000,5000000
574,attr2_narrow,2,0.9,13.711562,202.92545,1069,3236,9659,10,0,5000000,5000000,1000000
575,balanced,0,0,0.283476,120.53468,18,18,549,10,0,2000000,2000000,2000000
576,attr0_narrow,0,1,7.915883,145.72132,1032,3558,10262,10,0,1000000,5000000,5000000
577,attr1_narrow,1,1,18.70291,203.39039,1033,2320,7139,10,0,5000000,1000000,5000000
578,attr2_narrow,2,1,16.887791,208.61565,1029,4285,12512,10,0,5000000,5000000,1000000
